line,character,dialogue,sentiment,entities
173,THREEPIO,"No, I don't think he likes you at all.",0.09389351223827158,[]
174,THREEPIO,"No, I don't like you either.",0.04008538023559427,[]
175,LUKE,"You know, I think that R2 unit we bought might have been stolen.",0.08519872228644032,['R2']
176,OWEN,What makes you think that?,0.4678251942307208,[]
177,LUKE,"Well, I stumbled across a recording while I was cleaning him.  He says he belongs to someone called Obi-Wan Kenobi.",-0.1825900221549317,['Obi-Wan Kenobi']
178,LUKE,"I thought he might have meant Ben.  Do you know what he's talking about?  Well, I wonder if he's related to Ben.",-0.17039080502745652,"['Ben', 'Ben']"
179,OWEN,That old man's just a crazy wizard.  Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed.  That'll be the end of it.  It belongs to us now.,-0.25099594450555407,"['Tomorrow', 'R2', 'Anchorhead']"
180,LUKE,But what if this Obi-Wan comes looking for him?,0.3396814077092416,['Obi-Wan']
181,OWEN,"He won't, I don't think he exists any more.  He died about the same time as your father.",-0.1768469349489028,[]
182,LUKE,He knew my father?,-0.05347997574028596,[]
183,OWEN,I told you to forget it.  Your only concern is to prepare the new droids for tomorrow.  In the morning I want them on the south ridge working out those condensers.,-0.11086244472066942,['tomorrow']
184,LUKE,"Yes, sir.  I think those new droids are going to work out fine.  In fact, I, uh, was also thinking about our agreement about my staying on another season.  And if these new droids do work out, I want to transmit my application to the Academy this year.",-0.010094960672832887,"['another season', 'Academy', 'this year']"
185,OWEN,You mean the next semester before harvest?,-0.16456340958010962,['the next semester']
186,LUKE,"Sure, there're more than enough droids.",0.1792332604929252,[]
187,OWEN,Harvest is when I need you the most.  Only one more season.  This year we'll make enough on the harvest so I'll be able to hire some more hands.  And then you can go to the Academy next year.,-0.08282032074423151,"['Only one', 'This year', 'Academy', 'next year']"
188,OWEN,"You must understand I need you here, Luke.",0.39891991218445866,['Luke']
189,LUKE,But it's a whole 'nother year.,-0.2165240504127599,"[""'nother year""]"
190,OWEN,"Look, it's only one more season.",-0.0517669959565743,['only one']
191,LUKE,"Yeah, that's what you said last year when Biggs and Tank left.",0.04588756890489809,"['last year', 'Biggs', 'Tank']"
192,AUNT BERU,Where are you going?,-0.3912937996375203,[]
193,LUKE,It looks like I'm going nowhere.  I have to finish cleaning those droids.,-0.1382902430459263,[]
194,AUNT BERU,"Owen, he can't stay here forever.  Most of his friends have gone.  It means so much to him.",-0.3107051294583594,['Owen']
195,OWEN,I'll make it up to him next year.  I promise.,-0.08576075322458987,['next year']
196,AUNT BERU,"Luke's just not a farmer, Owen.  He has too much of his father in him.",-0.32156097545683915,"['Luke', 'Owen']"
197,OWEN,That's what I'm afraid of.,0.29767932789115004,[]
198,LUKE,What are you doing hiding there?,-0.21459096070722072,[]
199,THREEPIO,"It wasn't my fault, sir.  Please don't deactivate me.  I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission.",-0.45789160146784114,[]
200,LUKE,"Oh, no!",-0.40654452782282724,[]
201,THREEPIO,That R2 unit has always been a problem.  These astro-droids are getting quite out of hand.  Even I can't understand their logic at times. ,-0.2775745984562086,['R2']
202,LUKE,How could I be so stupid?  He's nowhere in sight.  Blast it!,-0.5569833402219362,[]
203,THREEPIO,"Pardon me, sir, but couldn't we go after him?",-0.25390039697504374,[]
204,LUKE,It's too dangerous with all the Sand People around.  We'll have to wait until morning.,-0.5050839957703088,['morning']
205,OWEN,"Luke, I'm shutting the power down for the night.",-0.13484105073606245,"['Luke', 'the night']"
206,LUKE,"All right, I'll be there in a few minutes.  Boy, am I gonna get it.",0.023592822227593846,['a few minutes']
207,LUKE,You know that little droid is going to cause me a lot of trouble.,-0.17687290129701605,[]
208,THREEPIO,"Oh, he excels at that, sir.",0.07023235730705335,[]
209,OWEN,Luke?  Luke?  Luke?  Where could he be loafing now!,-0.5737447387314178,['Luke']
210,OWEN,Have you seen Luke this morning?,-0.22306927785505604,"['Luke', 'this morning']"
211,AUNT BERU,"He said he had some things to do before he started today, so he left early.",-0.5718780057647894,['today']
212,OWEN,Uh?  Did he take those two new droids with him?,0.034158330915822877,['two']
213,AUNT BERU,I think so.,0.2568333902263742,[]
214,OWEN,"Well, he'd better have those units in the south range repaired bemidday or there'll be hell to pay!",-0.2777048505690487,[]
215,LUKE,How's that.,-0.04801216074704806,[]
216,LUKE,"Old Ben Kenobi lives out in this direction somewhere, but I don't see how that R2 unit could have come this far.  We must have missed him.  Uncle Owen isn't going to take this very well.",-0.2698465789563469,"['Ben Kenobi', 'R2']"
217,THREEPIO,"Sir, would it help if you told him it was my fault.",-0.09017174047836884,[]
218,LUKE,Sure.  He needs you.  He'd probably only deactivate you for a day or so...,-0.09037868441911989,['a day']
219,THREEPIO,"Deactivate!  Well, on the other hand if you hadn't removed his restraining bolt...",-0.11108328577137527,[]
220,LUKE,"Wait, there's something dead ahead on the scanner.  It looks like our droid... hit the accelerator.",-0.2193753112244501,[]
221,LUKE,"Hey, whoa, just where do you think you're going?",0.0,[]
222,THREEPIO,"Master Luke here is your rightful owner.  We'll have no more of this Obi-Wan Kenobi jibberish... and don't talk to me of your mission, either.  You're fortunate he doesn't blast you into a million pieces right here.",-0.08599417758557681,"['Luke', 'million']"
223,LUKE,"Well, come on. It's getting late.  I only hope we can get back before Uncle Owen really blows up.",-0.2686806193126985,['Uncle Owen']
224,THREEPIO,"If you don't mind my saying so, sir, I think you should deactivate the little fugitive until you've gotten him back to your workshop.",0.07158562598903062,[]
225,LUKE,"No, he's not going to try anything.",-0.5577156121465265,[]
226,LUKE,What's wrong with him now?,-0.08838954564169565,[]
227,THREEPIO,"Oh my... sir, he says there are several creatures approaching from the southeast.",-0.403624029111878,[]
228,LUKE,"Sand People!  Or worse!  Come on, let's have a look.  Come on.",-0.36767935724949874,[]
229,LUKE,"There are two Banthas down there but I don't see any... wait a second, they're Sand People all right.  I can see one of them now.",-0.02969173948983217,"['two', 'Banthas', 'second', 'one']"
230,BEN,Hello there!  Come here my little friend.  Don't be afraid.,-0.2259872202711306,[]
231,BEN,"Don't worry, he'll be all right.",0.020028842629202792,[]
232,LUKE,What happened?,-0.2768659930853159,[]
233,BEN,"Rest easy, son, you've had a busy day.  You're fortunate you're still in one piece.",0.2845510668620641,"['a busy day', 'one']"
234,LUKE,"Ben?  Ben Kenobi!  Boy, am I glad to see you! ",0.27639902077242295,"['Ben', 'Ben Kenobi']"
235,BEN,"The Jundland Wastes are not to be traveled lightly.  Tell me, young Luke, what brings you out this far?",-0.2500044605124585,['Luke']
236,LUKE,"Oh, this little droid!  I think he's searching for his former master...  I've never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours?  Do you know who he's talking about?",-0.09811428955638357,['Obi-Wan Kenobi']
237,BEN,Obi-Wan Kenobi... Obi-Wan?  Now thats a name I haven't heard in a long time... a long time.,-0.13784951161331294,"['Obi-Wan Kenobi', 'Obi-Wan']"
238,LUKE,I think my uncle knew him.  He said he was dead.,-0.13777456681839073,[]
239,BEN,"Oh, he's not dead, no... not yet.",-0.5429274642759665,[]
240,LUKE,You know him!,0.7135557006290982,[]
241,BEN,"Well of course, of course I know him.  He's me!  I haven't gone by the name Obi-Wan since oh, before you were born.",-0.04155402448045242,['Obi-Wan']
242,LUKE,Then the droid does belong to you.,0.11255955034861076,[]
243,BEN,Don't seem to remember ever owning a droid.  Very interesting... ,-0.09208005230522476,[]
244,BEN,I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers.,-0.4190227888845879,[]
245,LUKE,... Threepio!,-0.0454543626463888,['Threepio']
246,THREEPIO,Where am I?  I must have taken a bad step...,-0.20324562483315134,[]
247,LUKE,Can you stand?  We've got to get out of here before the Sand People return.,-0.3356814205785559,[]
248,THREEPIO,"I don't think I can make it.  You go on, Master Luke.  There's no sense in you risking yourself on my account.  I'm done for.",0.06600614819634965,['Luke']
249,LUKE,"No, you're not.  What kind of talk is that?",-0.10006803919528773,[]
250,BEN,"Quickly, son... they're on the move.",-0.10254684299323213,[]
251,LUKE,"No, my father didn't fight in the wars.  He was a navigator on a spice freighter.",-0.19034763323975268,[]
252,BEN,That's what your uncle told you.  He didn't hold with your father's ideals.  Thought he should have stayed here and not gotten involved.,-0.08373288985067506,[]
253,LUKE,You fought in the Clone Wars?,-0.2242240995009328,[]
254,BEN,"Yes, I was once a Jedi Knight the same as your father.",0.13519846931238821,[]
255,LUKE,I wish I'd known him.,0.4457569993739614,[]
256,BEN,"He was the best star-pilot in the galaxy, and a cunning warrior.  I understand you've become quite a good pilot yourself.  And he was a good friend.  Which reminds me...",0.2541229861732599,[]
257,BEN,"I have something here for you.  Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it.  He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did. ",-0.08555016451212016,['Obi-Wan']
258,THREEPIO,"Sir, if you'll not be needing me, I'll close down for awhile.",0.07686060356254454,[]
259,LUKE,"Sure, go ahead.",-0.1457426117167948,[]
260,LUKE,What is it?,-0.3758638275745827,[]
261,BEN,Your fathers lightsaber.  This is the weapon of a Jedi Knight.  Not as clumsy or as random as a blaster.,-0.2427169473039843,[]
262,BEN,"An elegant weapon for a morecivilized time.  For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic.  Before the dark times, before the Empire.",-0.1932087368985822,"['over a thousand', 'the Old Republic', 'Empire']"
263,LUKE,How did my father die?,-0.1784352218184515,[]
264,BEN,"A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights.  He betrayed and murdered your father.  Now the Jedi are all but extinct.  Vader was seduced by the dark side of the Force.",-0.36687740179713346,"['Jedi', 'Darth Vader', 'Empire', 'the Jedi Knights', 'Vader', 'Force']"
265,LUKE,The Force?,-0.14741361987821167,['Force']
266,BEN,"Well, the Force is what gives the Jedi his power.  It's an energy field created by all living things.  It surrounds us and penetrates us.  It binds the galaxy together.",-0.26598582821634587,"['Force', 'Jedi']"
267,BEN,"Now, let's see if we can't figure out what you are, my little friend.  And where you come from.",0.14440803229187926,[]
268,LUKE,I saw part of the message he was...,-0.15391753433389965,[]
269,BEN,I seem to have found it.,-0.6332871602733807,[]
270,LEIA,"General Kenobi, years ago you served my father in the Clone Wars.  Now he begs you to help him in his struggle against the Empire.  I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed.  I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit.  My father will know how to retrieve it.  You must see this droid safely delivered to him on Alderaan.  This is our most desperate hour.  Help me, Obi-Wan Kenobi, you're my only hope.",-0.13200833120088706,"['Kenobi', 'years ago', 'the Clone Wars', 'Alderaan', 'Rebellion', 'R2', 'Alderaan', 'Obi-Wan Kenobi']"
271,BEN,You must learn the ways of the Force if you're to come with me to Alderaan.,0.14734592033308425,"['Force', 'Alderaan']"
